Symbol	Description
A	Armor Minerals Inc
AA	Alba Minerals Inc
AAD	Added Capital Inc
AAG.H	Aftermath Silver Ltd
AAL	Advantage Lithium Corp
AAN	Aton Resources Inc
AAO	Augusta Industries Inc
AAP	Alpha Peak Leisure Inc
AAT	Ati Airtest Technologies Inc
AAX	Advance Gold Corp
AAZ	Azincourt Energy Corp.
AB.H	Asbestos Corporation Limited
ABCN	Abcann Global Corp
ABE	Abe Resources Inc
ABE.WT	Abe Resources Inc Wts
ABI	Abcourt Mines Inc
ABM	Athabasca Minerals Inc
ABN	Aben Resources Ltd
ABR	Ashburton Ventures Inc
ABRA	Abraplata Resource Corp
ABZ	Asiabasemetals Inc
ACE.H	Ace Aviation Holdings Inc
ACP	Arcpacific Resources Corp
ACS	Archon Minerals Limited
ACST	Acasti Pharma Inc
ACU	Aurora Solar Technologies Inc
ADD	Arctic Star Exploration Corp
ADE	Adex Mining Inc
ADG	Arcus Development Group Inc
ADK	Diagnos Inc
ADYA	Adya Inc
ADZ	Adamera Minerals Corp
ADZN	Adventus Zinc Corp
AEC	Anfield Energy Inc.
AEP	Atlas Engineered Products Ltd.
AEX	Alopex Gold Inc
AFCC	Automotive Finco Corp
AFCC.DB	Automotive Finco Corp 6.75 Pct Debs
AFE	Africa Energy Corp
AFF	Affinity Metals Corp
AFM	Alphamin Resources Corp
AGB	Atlantic Gold Corp
AGB.WT	Atlantic Gold Corp Wts
AGC	Amarillo Gold Corp
AGD	Antioquia Gold Inc
AGG	African Gold Group Inc
AGH.H	Canadian Silver Hunter Inc
AGL	Aguila American Gold Ltd
AGLD	Austral Gold Limited
AGM	Aldridge Minerals Inc
AGO	Aurcrest Gold Inc
AGRL	Aguia Resources Limited
AGY.H	Atom Energy Inc
AGZ	Ashanti Gold Corp
AHI	Agility Health Inc
AHM.H	Antler Hill Mining Ltd
AHR	Amarc Resources Ltd
AHS	Alta Natural Herbs and S
AHU	Arctic Hunter Energy Inc
AII	Almonty Industries Inc
AIIM	Albert Mining Inc
AIMI.P	Aim1 Ventures Inc
AIN	Aintree Resources Inc
AIS	Ais Resources Limited
AKH	Alaska Hydro Corp
AKR	Ackroo Inc
AL	Alx Uranium Corp
ALD	Aldever Resources Inc
ALG	Algold Resources Ltd
ALI	Altitude Resources Inc
ALK.H	Alkali3 Resources Inc
ALL.H	Allante Resources Ltd
ALM	Alliance Mining Corp
ALT	Alturas Minerals Corp
ALTA	Altamira Gold Corp
ALV	Alvopetro Energy Ltd
ALY	Analytixinsight Inc
ALZ	Aldershot Resources Ltd
AM.H	Automodular Corp
AME	Abacus Mining and Exploration
AMK	American Creek Resources Ltd
AMO	Altan Rio Minerals Limited
AMT.H	Amato Exploration Ltd
AMX	AMEX Exploration Inc
AMY	American Manganese Inc
AMZ	Almadex Minerals Limited
AN	Arena Minerals Inc
ANB	Anglo Bomarc Mines Ltd
ANC.H	Anchor Capital Corporation
ANE	Altan Nevada Minerals Limited
ANF	Anfield Gold Corp
ANG	Angel Gold Corp
ANK	Angkor Gold Corp
ANL.H	Atlantic Industrial Minerals Inc
ANTL	Antler Gold Inc
ANZ	Alianza Minerals Ltd
